,Frame,x_center,y_center,w,h,label,type,FileName
26,004401.jpg,435.0,261.0,202.0,237.0,7.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004401.jpg
27,007752.jpg,732.0,352.0,106.0,131.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007752.jpg
28,007752.jpg,478.0,290.0,219.0,218.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007752.jpg
29,007752.jpg,63.0,72.0,96.0,96.0,8.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007752.jpg
30,004694.jpg,480.0,209.0,587.0,236.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004694.jpg
31,004694.jpg,566.0,417.0,408.0,360.0,9.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004694.jpg
32,004166.jpg,525.0,299.0,117.0,100.0,2.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004166.jpg
33,004166.jpg,946.0,396.0,29.0,64.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004166.jpg
34,004166.jpg,726.0,418.0,77.0,85.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004166.jpg
35,004166.jpg,629.0,442.0,106.0,94.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004166.jpg
36,004166.jpg,613.0,588.0,209.0,104.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004166.jpg
37,004166.jpg,96.0,512.0,188.0,256.0,10.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004166.jpg
38,004166.jpg,705.0,517.0,511.0,247.0,11.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004166.jpg
39,004166.jpg,448.0,413.0,90.0,77.0,7.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004166.jpg
40,002239.jpg,745.0,463.0,169.0,250.0,12.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002239.jpg
41,002239.jpg,620.0,430.0,100.0,163.0,12.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002239.jpg
42,002239.jpg,293.0,398.0,140.0,242.0,12.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002239.jpg
43,002239.jpg,734.0,348.0,159.0,392.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002239.jpg
44,002239.jpg,609.0,379.0,104.0,250.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002239.jpg
45,002239.jpg,285.0,294.0,144.0,354.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002239.jpg
46,002239.jpg,68.0,207.0,98.0,125.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002239.jpg
47,004228.jpg,452.0,362.0,743.0,416.0,0.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004228.jpg
48,004228.jpg,52.0,201.0,100.0,211.0,0.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004228.jpg
49,004228.jpg,156.0,156.0,157.0,67.0,0.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004228.jpg
50,004961.jpg,494.0,370.0,920.0,432.0,0.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004961.jpg
51,006887.jpg,462.0,253.0,205.0,142.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006887.jpg
52,006887.jpg,228.0,387.0,227.0,393.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006887.jpg
53,006887.jpg,444.0,443.0,386.0,336.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006887.jpg
54,006887.jpg,700.0,410.0,236.0,338.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006887.jpg
55,006887.jpg,159.0,441.0,265.0,316.0,4.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006887.jpg
56,004262.jpg,507.0,390.0,215.0,120.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004262.jpg
57,003234.jpg,207.0,414.0,119.0,445.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003234.jpg
58,003234.jpg,271.0,445.0,92.0,387.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003234.jpg
59,003234.jpg,368.0,258.0,109.0,82.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003234.jpg
60,003234.jpg,387.0,437.0,144.0,406.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003234.jpg
61,003234.jpg,506.0,420.0,109.0,436.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003234.jpg
62,003234.jpg,622.0,428.0,161.0,424.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003234.jpg
63,003234.jpg,796.0,381.0,324.0,515.0,0.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003234.jpg
64,005086.jpg,398.0,381.0,190.0,133.0,4.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/005086.jpg
65,005086.jpg,176.0,444.0,202.0,393.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/005086.jpg
66,005086.jpg,736.0,353.0,440.0,563.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/005086.jpg
67,005086.jpg,428.0,541.0,476.0,198.0,11.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/005086.jpg
68,007442.jpg,482.0,376.0,956.0,524.0,11.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007442.jpg
69,007442.jpg,882.0,231.0,156.0,285.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007442.jpg
70,007442.jpg,732.0,118.0,88.0,106.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007442.jpg
71,007442.jpg,503.0,39.0,131.0,72.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007442.jpg
72,007442.jpg,302.0,101.0,90.0,79.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007442.jpg
73,007442.jpg,160.0,192.0,156.0,244.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007442.jpg
74,007442.jpg,74.0,345.0,144.0,369.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007442.jpg
75,007442.jpg,214.0,102.0,113.0,196.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007442.jpg
76,007442.jpg,330.0,66.0,92.0,121.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007442.jpg
77,004270.jpg,684.0,422.0,294.0,435.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004270.jpg
78,004270.jpg,454.0,408.0,371.0,464.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004270.jpg
79,004270.jpg,383.0,503.0,394.0,273.0,4.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004270.jpg
80,004270.jpg,469.0,559.0,217.0,162.0,4.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004270.jpg
81,007274.jpg,478.0,364.0,952.0,305.0,13.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/007274.jpg
82,004452.jpg,830.0,472.0,83.0,87.0,13.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004452.jpg
83,004545.jpg,614.0,379.0,411.0,522.0,6.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004545.jpg
84,004545.jpg,545.0,215.0,257.0,382.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004545.jpg
85,004545.jpg,329.0,468.0,106.0,247.0,7.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004545.jpg
86,004545.jpg,132.0,259.0,253.0,159.0,0.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004545.jpg
87,004545.jpg,848.0,259.0,36.0,99.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004545.jpg
88,004545.jpg,358.0,260.0,63.0,60.0,6.0,test,./VOCdevkit2007/VOC2007/JPEGImages/004545.jpg
89,006345.jpg,538.0,247.0,699.0,490.0,2.0,test,./VOCdevkit2007/VOC2007/JPEGImages/006345.jpg
90,006878.jpg,732.0,455.0,457.0,189.0,10.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006878.jpg
91,006878.jpg,285.0,494.0,566.0,292.0,10.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006878.jpg
92,001002.jpg,735.0,555.0,451.0,127.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001002.jpg
93,001002.jpg,403.0,500.0,284.0,64.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001002.jpg
94,001002.jpg,160.0,472.0,207.0,70.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001002.jpg
95,001002.jpg,37.0,458.0,69.0,42.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001002.jpg
96,007905.jpg,491.0,357.0,924.0,416.0,0.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/007905.jpg
97,006174.jpg,420.0,384.0,651.0,509.0,7.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006174.jpg
98,006174.jpg,131.0,404.0,257.0,471.0,7.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006174.jpg
99,006865.jpg,327.0,291.0,543.0,521.0,5.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006865.jpg
100,005177.jpg,489.0,347.0,942.0,236.0,10.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/005177.jpg
101,001493.jpg,829.0,311.0,165.0,358.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001493.jpg
102,001493.jpg,887.0,397.0,146.0,486.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001493.jpg
103,001493.jpg,475.0,390.0,248.0,500.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001493.jpg
104,001493.jpg,247.0,348.0,359.0,584.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001493.jpg
105,001493.jpg,70.0,421.0,29.0,80.0,3.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001493.jpg
106,007189.jpg,478.0,200.0,192.0,171.0,2.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/007189.jpg
107,007189.jpg,731.0,462.0,420.0,353.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/007189.jpg
108,003886.jpg,463.0,296.0,833.0,287.0,13.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/003886.jpg
109,009060.jpg,529.0,384.0,862.0,511.0,0.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/009060.jpg
110,009060.jpg,122.0,316.0,236.0,229.0,0.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/009060.jpg
111,005634.jpg,421.0,423.0,106.0,69.0,5.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005634.jpg
112,005634.jpg,680.0,347.0,311.0,486.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005634.jpg
113,007557.jpg,479.0,163.0,102.0,114.0,5.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007557.jpg
114,006673.jpg,805.0,265.0,98.0,369.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006673.jpg
115,006673.jpg,713.0,277.0,71.0,242.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006673.jpg
116,006673.jpg,654.0,286.0,121.0,373.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006673.jpg
117,006673.jpg,593.0,294.0,58.0,165.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006673.jpg
118,006673.jpg,496.0,271.0,63.0,273.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006673.jpg
119,006673.jpg,456.0,294.0,29.0,138.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006673.jpg
120,006673.jpg,435.0,301.0,48.0,171.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006673.jpg
121,006673.jpg,381.0,297.0,44.0,156.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006673.jpg
122,006673.jpg,362.0,317.0,67.0,223.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006673.jpg
123,006673.jpg,296.0,306.0,65.0,208.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006673.jpg
124,006673.jpg,109.0,440.0,54.0,19.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006673.jpg
125,006673.jpg,32.0,456.0,48.0,25.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006673.jpg
126,003323.jpg,415.0,422.0,480.0,435.0,11.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003323.jpg
127,003323.jpg,168.0,272.0,129.0,169.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003323.jpg
128,003323.jpg,148.0,323.0,115.0,177.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003323.jpg
129,003323.jpg,226.0,519.0,259.0,242.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003323.jpg
130,003323.jpg,734.0,298.0,175.0,172.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003323.jpg
131,003323.jpg,792.0,432.0,271.0,375.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003323.jpg
132,003323.jpg,912.0,533.0,96.0,213.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003323.jpg
133,003323.jpg,864.0,190.0,142.0,111.0,8.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003323.jpg
134,003323.jpg,658.0,293.0,236.0,579.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003323.jpg
135,003323.jpg,342.0,435.0,273.0,410.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003323.jpg
136,000747.jpg,468.0,319.0,755.0,577.0,0.0,test,./VOCdevkit2007/VOC2007/JPEGImages/000747.jpg
137,003205.jpg,481.0,289.0,801.0,384.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/003205.jpg
138,003205.jpg,480.0,394.0,897.0,357.0,4.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/003205.jpg
139,005083.jpg,486.0,317.0,922.0,346.0,0.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005083.jpg
140,006100.jpg,784.0,419.0,351.0,346.0,10.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006100.jpg
141,006100.jpg,264.0,133.0,121.0,85.0,8.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006100.jpg
142,006100.jpg,519.0,226.0,79.0,87.0,8.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006100.jpg
143,006100.jpg,404.0,291.0,106.0,145.0,4.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006100.jpg
144,006100.jpg,325.0,310.0,109.0,63.0,7.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006100.jpg
145,005298.jpg,175.0,416.0,288.0,448.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/005298.jpg
146,005298.jpg,592.0,361.0,240.0,557.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/005298.jpg
147,002591.jpg,726.0,345.0,404.0,519.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002591.jpg
148,002591.jpg,527.0,213.0,242.0,375.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002591.jpg
149,002591.jpg,181.0,347.0,308.0,514.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002591.jpg
150,002591.jpg,455.0,95.0,173.0,183.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002591.jpg
151,003050.jpg,372.0,361.0,244.0,121.0,15.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003050.jpg
152,003050.jpg,357.0,309.0,173.0,72.0,15.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003050.jpg
153,003050.jpg,392.0,146.0,42.0,22.0,15.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003050.jpg
154,003050.jpg,618.0,172.0,46.0,36.0,15.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003050.jpg
155,003050.jpg,918.0,193.0,58.0,33.0,15.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003050.jpg
156,003050.jpg,889.0,540.0,142.0,146.0,5.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003050.jpg
157,001105.jpg,324.0,507.0,639.0,266.0,11.0,test,./VOCdevkit2007/VOC2007/JPEGImages/001105.jpg
158,001105.jpg,601.0,394.0,422.0,488.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/001105.jpg
159,001105.jpg,905.0,356.0,109.0,568.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/001105.jpg
160,001105.jpg,255.0,354.0,35.0,108.0,3.0,test,./VOCdevkit2007/VOC2007/JPEGImages/001105.jpg
161,001105.jpg,188.0,377.0,58.0,113.0,3.0,test,./VOCdevkit2007/VOC2007/JPEGImages/001105.jpg
162,001622.jpg,571.0,460.0,61.0,154.0,12.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001622.jpg
163,001622.jpg,572.0,403.0,120.0,196.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001622.jpg
164,001622.jpg,413.0,348.0,28.0,49.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001622.jpg
165,001622.jpg,374.0,348.0,36.0,50.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001622.jpg
166,001622.jpg,192.0,426.0,379.0,219.0,0.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001622.jpg
167,001622.jpg,77.0,527.0,138.0,157.0,0.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001622.jpg
168,001622.jpg,512.0,360.0,26.0,42.0,0.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/001622.jpg
169,006953.jpg,550.0,343.0,102.0,58.0,14.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006953.jpg
170,004841.jpg,267.0,378.0,123.0,73.0,13.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004841.jpg
171,004841.jpg,696.0,199.0,48.0,29.0,13.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004841.jpg
172,004129.jpg,444.0,301.0,879.0,486.0,16.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004129.jpg
173,007301.jpg,244.0,345.0,315.0,591.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007301.jpg
174,007301.jpg,539.0,489.0,701.0,299.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007301.jpg
175,007301.jpg,531.0,409.0,490.0,241.0,10.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007301.jpg
176,007301.jpg,520.0,471.0,227.0,242.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007301.jpg
177,007301.jpg,724.0,551.0,465.0,177.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007301.jpg
178,001030.jpg,459.0,340.0,780.0,374.0,17.0,test,./VOCdevkit2007/VOC2007/JPEGImages/001030.jpg
179,000355.jpg,431.0,316.0,778.0,494.0,0.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/000355.jpg
180,002989.jpg,595.0,339.0,111.0,106.0,2.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/002989.jpg
181,002989.jpg,923.0,476.0,75.0,202.0,4.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/002989.jpg
182,002989.jpg,899.0,436.0,123.0,246.0,4.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/002989.jpg
183,002989.jpg,719.0,525.0,263.0,231.0,4.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/002989.jpg
184,002989.jpg,267.0,426.0,223.0,167.0,4.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/002989.jpg
185,002989.jpg,483.0,353.0,125.0,79.0,10.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/002989.jpg
186,002989.jpg,138.0,505.0,273.0,269.0,10.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/002989.jpg
187,005944.jpg,530.0,383.0,537.0,489.0,6.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005944.jpg
188,005944.jpg,462.0,245.0,162.0,350.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005944.jpg
189,004673.jpg,203.0,444.0,205.0,296.0,12.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004673.jpg
190,004673.jpg,273.0,323.0,238.0,392.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004673.jpg
191,006937.jpg,273.0,406.0,422.0,257.0,10.0,test,./VOCdevkit2007/VOC2007/JPEGImages/006937.jpg
192,006937.jpg,399.0,253.0,220.0,175.0,8.0,test,./VOCdevkit2007/VOC2007/JPEGImages/006937.jpg
193,006514.jpg,495.0,467.0,376.0,346.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/006514.jpg
194,006514.jpg,500.0,422.0,320.0,316.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/006514.jpg
195,006975.jpg,274.0,514.0,259.0,252.0,12.0,test,./VOCdevkit2007/VOC2007/JPEGImages/006975.jpg
196,006975.jpg,318.0,368.0,301.0,544.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/006975.jpg
197,005611.jpg,436.0,323.0,500.0,461.0,6.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/005611.jpg
198,005611.jpg,429.0,192.0,206.0,307.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/005611.jpg
199,005668.jpg,180.0,430.0,351.0,413.0,7.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/005668.jpg
200,005668.jpg,485.0,418.0,328.0,437.0,7.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/005668.jpg
201,005668.jpg,449.0,254.0,365.0,253.0,7.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/005668.jpg
202,005668.jpg,761.0,372.0,397.0,362.0,7.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/005668.jpg
203,009710.jpg,521.0,404.0,877.0,473.0,18.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/009710.jpg
204,005665.jpg,530.0,478.0,157.0,217.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005665.jpg
205,005665.jpg,234.0,404.0,180.0,223.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005665.jpg
206,005665.jpg,148.0,285.0,134.0,190.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005665.jpg
207,005665.jpg,244.0,204.0,119.0,158.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005665.jpg
208,005665.jpg,439.0,178.0,86.0,144.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005665.jpg
209,005665.jpg,822.0,423.0,196.0,219.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005665.jpg
210,005665.jpg,859.0,300.0,148.0,181.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005665.jpg
211,005665.jpg,756.0,114.0,69.0,113.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005665.jpg
212,005665.jpg,677.0,107.0,71.0,102.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005665.jpg
213,005665.jpg,588.0,133.0,71.0,108.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005665.jpg
214,005665.jpg,876.0,124.0,106.0,121.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005665.jpg
215,005665.jpg,487.0,102.0,75.0,92.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005665.jpg
216,005665.jpg,519.0,126.0,71.0,113.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005665.jpg
217,005665.jpg,677.0,207.0,113.0,152.0,4.0,test,./VOCdevkit2007/VOC2007/JPEGImages/005665.jpg
218,008244.jpg,593.0,295.0,733.0,584.0,17.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/008244.jpg
219,009614.jpg,187.0,311.0,348.0,121.0,0.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/009614.jpg
220,009614.jpg,783.0,311.0,349.0,114.0,0.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/009614.jpg
